gene_name,gene_id,Chow,HFD,FC,P
Zbtb16,ENSMUSG00000066687,22.16,0,-25.08,4.50E-08
F3,ENSMUSG00000028128,7.63,0,-23.63,2.60E-13
Ppfia4,ENSMUSG00000026458,13.42,0,-10.4,2.20E-04
Clca3a1,ENSMUSG00000056025,11.34,0,-10.15,1.80E-03
Gbp8,ENSMUSG00000034438,11.19,0,-10.13,3.10E-05
2010001K21Rik,ENSMUSG00000051606,9.77,0,-9.94,1.20E-03
Nr0b2,ENSMUSG00000037583,0,14.54,9.83,8.00E-07
Gm18877,ENSMUSG00000109103,9,0,-9.82,1.40E-04
Cytip,ENSMUSG00000026832,0,14.15,9.79,5.90E-08
Gm20706,ENSMUSG00000093580,8.65,0,-9.76,1.80E-03
Hddc3,ENSMUSG00000030532,8.54,0,-9.75,2.60E-03
1700011H14Rik,ENSMUSG00000021850,8.38,0,-9.72,2.50E-02
Cd68,ENSMUSG00000018774,8.23,0,-9.69,5.60E-07
Gm25153,ENSMUSG00000087743,7.78,0,-9.61,7.70E-03
Zfp866,ENSMUSG00000043090,7.52,0,-9.56,3.10E-03
Gm46436,ENSMUSG00000113379,7.46,0,-9.55,6.30E-03
Gm43201,ENSMUSG00000104852,7.31,0,-9.52,6.80E-03
Gm14537,ENSMUSG00000082855,7.21,0,-9.5,1.60E-02
Gsdmc2,ENSMUSG00000056293,0.02,19.05,9.49,1.80E-04
Vrk2,ENSMUSG00000064090,6.96,0,-9.45,5.30E-03
C130083A15Rik,ENSMUSG00000108812,6.69,0,-9.39,1.60E-05
AC154849.3,ENSMUSG00000114569,6.67,0,-9.39,4.70E-02
Gm37186,ENSMUSG00000103937,6.68,0,-9.39,3.20E-03
A830035O19Rik,ENSMUSG00000111329,6.57,0,-9.37,4.80E-03
Gm3617,ENSMUSG00000092563,6.54,0,-9.36,1.20E-02
E230013L22Rik,ENSMUSG00000096957,6.54,0,-9.36,1.70E-02
Pygm,ENSMUSG00000032648,6.41,0,-9.33,5.30E-03
Heg1,ENSMUSG00000075254,12.57,0.02,-9.33,1.70E-05
Arhgap29,ENSMUSG00000039831,6.02,0,-9.24,1.50E-02
Sall3,ENSMUSG00000024565,5.78,0,-9.18,1.70E-02
Isyna1,ENSMUSG00000019139,5.75,0,-9.18,1.60E-02
Apoe,ENSMUSG00000002985,5.65,0,-9.15,7.80E-03
Mir194-2,ENSMUSG00000065582,5.53,0,-9.12,2.10E-02
Mfsd4b5,ENSMUSG00000038528,5.2,0,-9.03,1.10E-04
Gpsm1,ENSMUSG00000026930,5.11,0,-9.01,2.00E-02
Gcnt1,ENSMUSG00000038843,5.11,0,-9.01,7.80E-04
Muc5b,ENSMUSG00000066108,4.96,0,-8.96,3.10E-02
Acap1,ENSMUSG00000001588,4.93,0,-8.95,1.70E-02
2810001G20Rik,ENSMUSG00000087497,4.87,0,-8.94,5.30E-03
Amigo3,ENSMUSG00000032593,4.82,0,-8.92,3.40E-03
Snhg1,ENSMUSG00000108414,4.76,0,-8.9,1.70E-02
AC154636.1,ENSMUSG00000113294,4.75,0,-8.9,2.00E-02
Chst11,ENSMUSG00000034612,4.7,0,-8.89,1.90E-02
Rbm4,ENSMUSG00000094936,4.68,0,-8.88,2.70E-03
Tspan1,ENSMUSG00000028699,4.65,0,-8.87,4.70E-02
Nebl,ENSMUSG00000053702,4.64,0,-8.87,1.70E-02
Gm14935,ENSMUSG00000081182,4.62,0,-8.86,2.10E-02
Myo1g,ENSMUSG00000020437,4.51,0,-8.83,2.80E-02
Stxbp4,ENSMUSG00000020546,4.4,0,-8.79,2.50E-02
Gas2,ENSMUSG00000030498,4.3,0,-8.75,2.80E-02
1700109H08Rik,ENSMUSG00000008307,4.17,0,-8.71,2.80E-02
Eef2kmt,ENSMUSG00000022544,4.05,0,-8.67,3.70E-02
Cdkl3,ENSMUSG00000020389,0,6.33,8.63,1.20E-03
Gm19409,ENSMUSG00000106229,7.69,0.02,-8.61,6.90E-04
Intu,ENSMUSG00000060798,3.84,0,-8.59,4.00E-02
Cd83,ENSMUSG00000015396,0,6.1,8.57,1.30E-03
Zfp85,ENSMUSG00000058331,3.77,0,-8.57,4.80E-02
Gm43274,ENSMUSG00000107116,3.61,0,-8.5,5.30E-03
Zkscan7,ENSMUSG00000063488,0,5.57,8.44,1.30E-02
5031434O11Rik,ENSMUSG00000097885,3.39,0,-8.41,7.10E-03
Rbak,ENSMUSG00000061898,9.51,0.02,-8.35,9.10E-03
Ormdl1,ENSMUSG00000026097,0,5.1,8.32,5.30E-03
Thtpa,ENSMUSG00000045691,0,4.9,8.26,1.80E-02
Gm43365,ENSMUSG00000105084,8.63,0.02,-8.21,1.60E-02
Fam83c,ENSMUSG00000074647,0.02,7.72,8.19,2.40E-03
Phka2,ENSMUSG00000031295,5.58,0.01,-8.19,1.70E-02
Avil,ENSMUSG00000025432,2.86,0,-8.17,4.20E-02
Gm43430,ENSMUSG00000106149,5.07,0.01,-8.05,5.00E-03
Shank2,ENSMUSG00000037541,4.94,0.01,-8.01,7.40E-04
Kcnk6,ENSMUSG00000046410,4.68,0.01,-7.94,2.50E-02
AC120394.1,ENSMUSG00000111003,2.32,0,-7.87,4.00E-02
Gm36527,ENSMUSG00000103238,4.56,0.02,-7.86,1.80E-03
Gramd2,ENSMUSG00000074259,4.4,0.02,-7.81,2.50E-03
Tmem35b,ENSMUSG00000070737,0,3.5,7.77,4.80E-02
D330023K18Rik,ENSMUSG00000087269,2.69,0.01,-7.13,2.80E-02
Grhl1,ENSMUSG00000020656,5.35,0.04,-7.07,6.70E-03
Gm37084,ENSMUSG00000102856,8.69,0.08,-6.88,1.10E-05
Pnpla7,ENSMUSG00000036833,12.05,0.11,-6.84,1.10E-04
Bco1,ENSMUSG00000031845,6.87,0.06,-6.8,1.20E-03
Saa1,ENSMUSG00000074115,6.63,0.06,-6.63,9.00E-03
Tm2d2,ENSMUSG00000031556,0.13,11.69,6.49,4.60E-04
Gm44695,ENSMUSG00000108560,15.89,0.2,-6.33,1.80E-03
AC122273.1,ENSMUSG00000111521,6.37,0.07,-6.31,5.70E-03
Kdm2b,ENSMUSG00000029475,6.31,0.11,-5.88,1.30E-02
Gm20594,ENSMUSG00000096887,4.01,0.08,-5.73,1.20E-02
Gm43721,ENSMUSG00000104947,6.02,0.14,-5.53,4.70E-02
Ints5,ENSMUSG00000071652,0.17,7.44,5.46,4.80E-02
Ppp1cc,ENSMUSG00000004455,16.62,0.51,-5.03,3.80E-03
B230216N24Rik,ENSMUSG00000089706,11.72,0.37,-5.01,6.40E-03
Dync2h1,ENSMUSG00000047193,8.4,0.3,-4.86,2.40E-02
Gm44699,ENSMUSG00000109314,28.72,1.12,-4.69,5.30E-03
Gm45776,ENSMUSG00000110520,7.76,0.31,-4.68,4.90E-02
Park7,ENSMUSG00000028964,0.61,13.96,4.55,4.70E-02
AC127596.1,ENSMUSG00000111539,19.21,0.94,-4.36,4.80E-02
A330023F24Rik,ENSMUSG00000096929,18.16,0.93,-4.3,2.50E-02
Per3,ENSMUSG00000028957,16.46,0.91,-4.18,5.30E-03
Sema3c,ENSMUSG00000028780,28.99,1.61,-4.18,9.00E-03
Alpk1,ENSMUSG00000028028,18.78,1.21,-3.96,4.60E-04
S100pbp,ENSMUSG00000040928,15.61,1.13,-3.79,1.20E-03
Rnf208,ENSMUSG00000044628,20.79,1.67,-3.63,2.10E-02
Reg3b,ENSMUSG00000071356,986.77,83.9,-3.56,2.20E-04
Gm5637,ENSMUSG00000046993,8.45,0.73,-3.53,1.50E-02
3300005D01Rik,ENSMUSG00000096965,23.57,2.07,-3.51,5.30E-03
Actg1,ENSMUSG00000062825,10.18,0.88,-3.51,1.40E-02
Barx2,ENSMUSG00000032033,34.32,3.11,-3.47,4.40E-02
Reg3g,ENSMUSG00000030017,520.72,48.93,-3.41,5.60E-07
Gm37019,ENSMUSG00000102953,17.11,1.7,-3.34,1.40E-02
mt-Nd6,ENSMUSG00000064368,147.93,15.56,-3.25,1.60E-06
Zfp949,ENSMUSG00000032425,14.45,1.61,-3.18,9.90E-03
Scd1,ENSMUSG00000037071,12.52,97.08,2.95,2.70E-02
Uimc1,ENSMUSG00000025878,23.08,3.08,-2.9,1.80E-03
Sprr2a3,ENSMUSG00000074445,16.8,116.01,2.79,9.10E-03
Cbx1,ENSMUSG00000018666,3.09,21.09,2.78,1.60E-03
Dock8,ENSMUSG00000052085,6.09,41.41,2.77,2.00E-03
Hk2,ENSMUSG00000000628,117.43,17.4,-2.76,8.80E-03
Dmbt1,ENSMUSG00000047517,61.57,9.69,-2.67,9.00E-03
Gm43745,ENSMUSG00000105456,68.69,11.17,-2.62,1.30E-02
Mecp2,ENSMUSG00000031393,31.09,5.11,-2.6,2.00E-02
Prpf39,ENSMUSG00000035597,22.14,3.78,-2.55,2.30E-02
Plekhn1,ENSMUSG00000078485,72.22,12.47,-2.54,1.50E-02
Retsat,ENSMUSG00000056666,20.6,109.93,2.42,2.70E-02
Vps13a,ENSMUSG00000046230,64.86,12.24,-2.41,6.30E-03
Plekhg3,ENSMUSG00000052609,142.34,27.44,-2.38,1.70E-02
Trim24,ENSMUSG00000029833,22.85,4.5,-2.34,6.30E-03
mt-Cytb,ENSMUSG00000064370,3138.73,659.33,-2.25,1.30E-02
Pigr,ENSMUSG00000026417,820.2,181.15,-2.18,1.80E-04
Cemip,ENSMUSG00000052353,63.41,14.58,-2.12,3.20E-02
Zrsr2,ENSMUSG00000031370,20.99,4.88,-2.11,1.50E-02
mt-Nd4,ENSMUSG00000064363,1240.06,289.77,-2.1,1.90E-02
Myo9a,ENSMUSG00000039585,21.22,5.06,-2.07,4.00E-02
Gon4l,ENSMUSG00000054199,26.24,6.3,-2.06,3.90E-02
Ldlr,ENSMUSG00000032193,100.93,25.37,-1.99,5.30E-03
Ndrg1,ENSMUSG00000005125,118.77,30.25,-1.97,4.70E-02
Palm,ENSMUSG00000035863,18.39,4.79,-1.94,2.80E-02
Fam114a1,ENSMUSG00000029185,12.45,47.05,1.92,4.20E-02
Slc35a5,ENSMUSG00000022664,9.7,36.46,1.91,3.90E-02
mt-Rnr1,ENSMUSG00000064337,123509.6,36985.56,-1.74,4.70E-02
Lpin2,ENSMUSG00000024052,536.81,161.12,-1.74,5.30E-03
Lct,ENSMUSG00000026354,399.15,1314.56,1.72,1.30E-04
Taf15,ENSMUSG00000020680,55.2,16.78,-1.72,1.60E-02
Dhrs1,ENSMUSG00000002332,35.17,115.25,1.71,3.20E-02
Tstd3,ENSMUSG00000028251,7.81,25.5,1.71,3.70E-02
Cyp4f16,ENSMUSG00000048440,52.39,169.6,1.69,2.00E-02
Rpn1,ENSMUSG00000030062,29.03,92.14,1.67,1.90E-02
Tm4sf4,ENSMUSG00000027801,107.82,338.57,1.65,2.80E-02
Man1b1,ENSMUSG00000036646,21.63,66.03,1.61,5.10E-03
Ces2c,ENSMUSG00000061825,67.75,204.8,1.6,6.90E-04
Uhmk1,ENSMUSG00000026667,20.35,61,1.58,3.40E-02
Aldoa,ENSMUSG00000030695,72.85,206.65,1.5,4.00E-02
Lrrfip1,ENSMUSG00000026305,368.71,144.21,-1.35,2.10E-02
Ddi2,ENSMUSG00000078515,30.79,76.6,1.32,4.80E-02
Cdk12,ENSMUSG00000003119,102.07,45.29,-1.17,4.00E-02
Bpgm,ENSMUSG00000038871,94,41.74,-1.17,4.90E-02
Calr,ENSMUSG00000003814,369.44,789.11,1.09,4.30E-02
P4hb,ENSMUSG00000025130,962.17,1999.48,1.06,2.00E-02
Tpi1,ENSMUSG00000023456,81.85,167.54,1.03,1.00E-02
Daam1,ENSMUSG00000034574,274.58,134.89,-1.03,1.70E-02
Ces2e,ENSMUSG00000031886,286.93,523.93,0.87,4.70E-02
Fgfbp1,ENSMUSG00000048373,6.56,0,-9.36,5.00E-02
Fgfr2,ENSMUSG00000030849,6.46,0,-9.34,5.00E-02
Gm44651,ENSMUSG00000109281,6.41,0,-9.33,5.10E-02
Rasd1,ENSMUSG00000049892,5.94,0,-9.22,7.30E-02
Gm43300,ENSMUSG00000105572,5.83,0,-9.19,6.40E-02
Gm10463,ENSMUSG00000102759,5.49,0,-9.11,7.70E-02
Mtss1l,ENSMUSG00000033763,5.42,0,-9.09,7.90E-02
Gm43817,ENSMUSG00000105341,5.22,0,-9.03,8.90E-02
Gm42869,ENSMUSG00000105137,4.81,0,-8.92,9.40E-02
Pdss2,ENSMUSG00000038240,4.64,0,-8.86,9.90E-02
Sybu,ENSMUSG00000022340,4.62,0,-8.86,1.10E-01
Erdr1,ENSMUSG00000096768,4.59,0,-8.85,9.80E-02
Ubd,ENSMUSG00000035186,29.62,0.07,-8.85,2.10E-01
Fes,ENSMUSG00000053158,4.52,0,-8.83,1.10E-01
Iffo2,ENSMUSG00000041025,4.38,0,-8.78,1.00E-01
Gm31108,ENSMUSG00000108094,4.37,0,-8.78,1.10E-01
Gm43984,ENSMUSG00000108238,4.37,0,-8.78,1.10E-01
Aaas,ENSMUSG00000036678,0,7,8.77,6.10E-02
Ubxn2b,ENSMUSG00000028243,4.26,0,-8.74,5.80E-02
Gm23134,ENSMUSG00000077990,4.19,0,-8.72,1.30E-01
Ddah2,ENSMUSG00000007039,4.18,0,-8.72,1.20E-01
Iqcd,ENSMUSG00000029601,4.15,0,-8.7,1.20E-01
Scrn1,ENSMUSG00000019124,4.13,0,-8.7,1.20E-01
Omp,ENSMUSG00000074006,4.11,0,-8.69,1.20E-01
Gm16192,ENSMUSG00000086773,4.07,0,-8.68,1.20E-01
Cacnb2,ENSMUSG00000057914,4.05,0,-8.67,1.20E-01
Fyb,ENSMUSG00000022148,4.03,0,-8.66,6.20E-02
Gm43465,ENSMUSG00000105717,3.98,0,-8.64,5.50E-02
Serpinb6c,ENSMUSG00000052180,3.96,0,-8.64,1.20E-01
Ttr,ENSMUSG00000061808,3.9,0,-8.61,1.20E-01
Mmab,ENSMUSG00000029575,3.88,0,-8.61,1.30E-01
Sp3os,ENSMUSG00000063714,3.82,0,-8.59,1.30E-01
Rttn,ENSMUSG00000023066,3.77,0,-8.57,7.60E-02
Zc3h6,ENSMUSG00000042851,3.73,0,-8.55,1.30E-01
Gm17193,ENSMUSG00000079645,3.63,0,-8.51,1.50E-01
Zfp956,ENSMUSG00000045466,3.6,0,-8.5,1.40E-01
Mrps33,ENSMUSG00000029918,3.59,0,-8.5,8.20E-02
Gm37985,ENSMUSG00000104211,3.58,0,-8.49,1.40E-01
Iqsec3,ENSMUSG00000040797,3.57,0,-8.49,1.40E-01
Snapc4,ENSMUSG00000036281,3.54,0,-8.48,6.00E-02
Nenf,ENSMUSG00000037499,0,5.67,8.47,7.20E-02
9430087B13Rik,ENSMUSG00000104971,3.48,0,-8.45,6.80E-02
Npat,ENSMUSG00000033054,3.48,0,-8.45,1.50E-01
Gm37206,ENSMUSG00000103651,3.47,0,-8.44,1.60E-01
Dpm1,ENSMUSG00000078919,3.44,0,-8.43,5.80E-02
Gm21056,ENSMUSG00000113817,3.42,0,-8.43,1.60E-01
Asb1,ENSMUSG00000026311,0,5.48,8.42,8.80E-02
Cd7,ENSMUSG00000025163,3.38,0,-8.41,1.70E-01
Map2k3os,ENSMUSG00000042549,3.31,0,-8.38,1.60E-01
Gm16755,ENSMUSG00000097658,3.31,0,-8.38,1.70E-01
Ifit3b,ENSMUSG00000062488,0,5.32,8.38,1.10E-01
Gm10390,ENSMUSG00000097368,3.29,0,-8.37,1.60E-01
CT009480.2,ENSMUSG00000114310,3.28,0,-8.37,8.90E-02
Gm13341,ENSMUSG00000083863,3.25,0,-8.35,6.10E-02
Hist1h1t,ENSMUSG00000036211,3.23,0,-8.35,1.60E-01
Ranbp3l,ENSMUSG00000048424,3.23,0,-8.34,1.70E-01
Taf1a,ENSMUSG00000072258,3.23,0,-8.34,7.10E-02
Rftn2,ENSMUSG00000025978,3.22,0,-8.34,1.80E-01
Ercc6l2,ENSMUSG00000021470,3.23,0,-8.34,1.20E-01
Rpl31,ENSMUSG00000073702,3.2,0,-8.33,1.70E-01
Rnf144b,ENSMUSG00000038068,3.19,0,-8.33,9.90E-02
Gen1,ENSMUSG00000051235,3.19,0,-8.33,6.40E-02
Gm43328,ENSMUSG00000105677,3.18,0,-8.32,1.70E-01
Adam19,ENSMUSG00000011256,3.16,0,-8.31,1.70E-01
Gm45779,ENSMUSG00000110558,3.14,0,-8.3,8.00E-02
Creb5,ENSMUSG00000053007,3.12,0,-8.29,7.00E-02
Iqsec1,ENSMUSG00000034312,3.1,0,-8.29,1.00E-01
Enpp5,ENSMUSG00000023960,3.1,0,-8.28,8.50E-02
Rhbdf1,ENSMUSG00000020282,3.09,0,-8.28,7.90E-02
Bend3,ENSMUSG00000038214,3.06,0,-8.26,1.90E-01
AC154347.1,ENSMUSG00000113328,3.05,0,-8.26,1.90E-01
Ccl28,ENSMUSG00000074715,3.02,0,-8.25,1.10E-01
Rpl11,ENSMUSG00000059291,3.01,0,-8.24,1.80E-01
Aldh3b2,ENSMUSG00000075296,3,0,-8.24,9.70E-02
Sh2d6,ENSMUSG00000052631,2.97,0,-8.22,1.90E-01
Mrps28,ENSMUSG00000040269,2.96,0,-8.22,1.90E-01
Gm42611,ENSMUSG00000105643,2.95,0,-8.21,1.90E-01
Rps6,ENSMUSG00000028495,2.95,0,-8.21,7.20E-02
AC157650.2,ENSMUSG00000114539,2.92,0,-8.2,8.90E-02
Cenpi,ENSMUSG00000031262,2.92,0,-8.2,2.00E-01
Etv5,ENSMUSG00000013089,2.9,0,-8.19,2.00E-01
Htr1a,ENSMUSG00000021721,2.9,0,-8.19,1.90E-01
Cd3e,ENSMUSG00000032093,2.89,0,-8.18,2.00E-01
1110020A21Rik,ENSMUSG00000097047,2.89,0,-8.18,2.00E-01
Uevld,ENSMUSG00000043262,0,4.64,8.18,1.10E-01
Zranb3,ENSMUSG00000036086,2.88,0,-8.18,2.10E-01
Hap1,ENSMUSG00000006930,2.88,0,-8.18,8.00E-02
Gm44510,ENSMUSG00000108443,2.87,0,-8.17,2.10E-01
Gm11131,ENSMUSG00000079505,2.84,0,-8.16,9.00E-02
Gm23209,ENSMUSG00000089292,2.83,0,-8.15,2.20E-01
Mroh6,ENSMUSG00000098678,2.83,0,-8.15,2.10E-01
Vgll3,ENSMUSG00000091243,2.81,0,-8.14,2.10E-01
Gm45769,ENSMUSG00000107838,2.8,0,-8.13,9.50E-02
Gm38228,ENSMUSG00000103945,2.78,0,-8.13,1.20E-01
Cenpq,ENSMUSG00000023919,2.77,0,-8.12,2.10E-01
Nt5m,ENSMUSG00000032615,0,4.44,8.12,1.20E-01
Zswim7,ENSMUSG00000014243,0,4.43,8.11,1.30E-01
Efcab5,ENSMUSG00000050944,2.73,0,-8.1,9.00E-02
Myof,ENSMUSG00000048612,2.72,0,-8.1,1.20E-01
Slc50a1,ENSMUSG00000027953,2.71,0,-8.09,1.30E-01
Gm26671,ENSMUSG00000097339,2.7,0,-8.09,2.20E-01
Gar1,ENSMUSG00000028010,2.69,0,-8.08,2.20E-01
Gm14168,ENSMUSG00000055494,2.67,0,-8.07,2.20E-01
Gm11652,ENSMUSG00000083465,2.67,0,-8.07,2.40E-01
Mfsd13a,ENSMUSG00000025227,0,4.29,8.07,1.40E-01
Arhgap45,ENSMUSG00000035697,2.66,0,-8.06,2.20E-01
Mars2,ENSMUSG00000046994,2.66,0,-8.06,2.20E-01
Ccno,ENSMUSG00000042417,0,4.27,8.06,1.50E-01
Gm45464,ENSMUSG00000109727,2.64,0,-8.05,2.30E-01
Acp1,ENSMUSG00000044573,5.02,0.01,-8.04,9.50E-02
Kcp,ENSMUSG00000059022,2.59,0,-8.03,2.30E-01
Lama4,ENSMUSG00000019846,2.59,0,-8.03,2.30E-01
Mcph1,ENSMUSG00000039842,2.58,0,-8.02,2.30E-01
Wfikkn1,ENSMUSG00000071192,2.58,0,-8.02,2.40E-01
Dennd5a,ENSMUSG00000035901,2.58,0,-8.02,2.40E-01
Plg,ENSMUSG00000059481,2.56,0,-8.01,2.50E-01
Gm42548,ENSMUSG00000106959,2.56,0,-8.01,1.20E-01
Plcd4,ENSMUSG00000026173,2.55,0,-8.01,2.40E-01
Gm37914,ENSMUSG00000103272,2.56,0,-8,2.50E-01
Moap1,ENSMUSG00000096458,0,4.09,8,1.40E-01
Coprs,ENSMUSG00000031458,0,4.09,8,1.50E-01
Gm15912,ENSMUSG00000085881,2.54,0,-8,2.30E-01
Ppp1r1c,ENSMUSG00000034683,2.53,0,-7.99,2.40E-01
Slc37a2,ENSMUSG00000032122,2.52,0,-7.99,2.50E-01
Akap17b,ENSMUSG00000059708,2.52,0,-7.98,1.30E-01
Fam198b,ENSMUSG00000027955,0,4.02,7.97,1.50E-01
Il20rb,ENSMUSG00000044244,2.5,0,-7.97,2.40E-01
Thsd4,ENSMUSG00000032289,2.49,0,-7.97,2.40E-01
Gm37115,ENSMUSG00000103572,2.49,0,-7.96,1.30E-01
Gimap8,ENSMUSG00000064262,2.48,0,-7.96,1.60E-01
